ticker,quarter,year,foreignBuyVolumeTotal,foreignSellVolumeTotal,foreignBuyValueTotal,foreignSellValueTotal,foreignNetVolumeTotal,foreignNetValueTotal,foreignBuyVolumeMatched,foreignSellVolumeMatched,foreignBuyValueMatched,foreignSellValueMatched,foreignBuyVolumeDeal,foreignSellVolumeDeal,foreignBuyValueDeal,foreignSellValueDeal,foreignCurrentRoom,foreignTotalRoom,percentForeignTotalRoom,foreignOwned,percentForeignOwned
VTZ,1,2025,2291306.0,2201700.0,39864173800.0,37521130000.0,89606.0,2343043800.0,2291306.0,2201700.0,39864173800.0,37521130000.0,0.0,0.0,0.0,0.0,37956718.0,38841514.0,0.50999998910186,884796.0,0.01161762001237
VTZ,2,2025,1995300.0,2022600.0,34696300000.0,34583590000.0,-27300.0,112710000.0,1995300.0,2022600.0,34696300000.0,34583590000.0,0.0,0.0,0.0,0.0,38000418.0,38841514.0,0.50999998910186,841096.0,0.01104382673738
VTZ,3,2025,2105500.0,2118500.0,38737250000.0,38357300000.0,-13000.0,379950000.0,2105500.0,2118500.0,38737250000.0,38357300000.0,0.0,0.0,0.0,0.0,37959218.0,38841514.0,0.50999998910186,882296.0,0.01158479431014
WCS,1,2025,2500.0,4400.0,913030000.0,1611380000.0,-1900.0,-698350000.0,2500.0,4400.0,913030000.0,1611380000.0,0.0,0.0,0.0,0.0,518256.0,1225000.0,0.49,706744.0,0.2826976
WCS,2,2025,3300.0,3800.0,1114470000.0,1326960000.0,-500.0,-212490000.0,3300.0,3800.0,1114470000.0,1326960000.0,0.0,0.0,0.0,0.0,518756.0,1225000.0,0.49,706244.0,0.2824976
WCS,3,2025,400.0,4692.0,159300000.0,1451347200.0,-4292.0,-1292047200.0,400.0,4692.0,159300000.0,1451347200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSS,1,2025,13000.0,0.0,65100000.0,0.0,13000.0,65100000.0,13000.0,0.0,65100000.0,0.0,0.0,0.0,0.0,0.0,23581400.0,24647000.0,0.49,1065600.0,0.02118489065606
WSS,2,2025,7000.0,0.0,25900000.0,0.0,7000.0,25900000.0,7000.0,0.0,25900000.0,0.0,0.0,0.0,0.0,0.0,23574400.0,24647000.0,0.49,1072600.0,0.021324055666
WSS,3,2025,46300.0,24400.0,329670000.0,180870000.0,21900.0,148800000.0,46300.0,24400.0,329670000.0,180870000.0,0.0,0.0,0.0,0.0,23552500.0,24647000.0,0.49,1094500.0,0.02175944333996
X20,1,2025,7100.0,16200.0,113540000.0,290940000.0,-9100.0,-177400000.0,7100.0,16200.0,113540000.0,290940000.0,0.0,0.0,0.0,0.0,8428000.0,8452500.0,0.49,24500.0,0.00142028985507
X20,2,2025,900.0,1900.0,13050000.0,27020000.0,-1000.0,-13970000.0,900.0,1900.0,13050000.0,27020000.0,0.0,0.0,0.0,0.0,8429000.0,8452500.0,0.49,23500.0,0.00136231884057
X20,3,2025,2500.0,2100.0,33500000.0,27540000.0,400.0,5960000.0,2500.0,2100.0,33500000.0,27540000.0,0.0,0.0,0.0,0.0,8428600.0,8452500.0,0.49,23900.0,0.00138550724637
